建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查期間,自銷售期間,代銷售期間,坐落基地,建照核發日期,建造執照,完成建物第一次登記日期,詳細內容,功能,備註,city,district,query_url,fetched_at
聯聚方瑞大廈,西屯區市政路,聯聚建設股份有限公司,194,第四之一種商業區,住家用,鋼筋混凝土造,1101118,"1101105~自完售止,至建案銷售完畢",,惠順段64地號,1101102,110中都建字第02189號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
聯聚中維大廈,西屯區市政路,聯聚建設股份有限公司,227,第四種新市政中心專用區,商辦,鋼骨鋼筋混凝土造，鋼骨造,1120630,"1120710~自完售止,售完為止",,惠國段178地號,1120502,112中都建字第00698號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
聯聚玉衡大廈,西屯區市政北六路/市政北七路,聯聚建設股份有限公司,377,第六種新市政中心專用區,住家用,鋼骨造,1131210,1131214~售完為止,,惠民段128地號,1131125,113中都建字第01958號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
寶輝101 Theater South,西屯區市政北二路與河南路口,寶急開發股份有限公司,138,第一種新市政中心專用區,H2集合住宅,鋼筋混凝土造，鋼骨鋼筋混凝土造,1130317,1130401~售完為止,,惠民段102地號,1101222,110中都建字第02565號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
遠雄琉蘊,西屯區市政北七路和惠民路交叉口,遠雄建設事業股份有限公司,336,第六種新市政中心專用區,H2-集合住宅、G3-一般零售業,鋼骨鋼筋混凝土造,1120328,無,1120314~1170317,惠民段14地號,1111128,111中都建字第02406號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
豐蒔,西屯區市政北七路及惠中一街交叉口,大陸建設股份有限公司,84,第六種新市政中心專用區,零售業、辦公室、集合住宅,鋼骨造,1101029,至售完為止(零售業、辦公室),"1120901~1140228,集合住宅",惠國段101地號,1100423,110中都建字第00858號,1141030,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
紀汎希,西屯區市政北七路,博元建設股份有限公司,346,第七種新市政中心特區,集合住宅、店鋪,鋼骨鋼筋混凝土造,1120322,無,1120401~1171230,惠國段116地號,1111122,111中都建字第02368號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
鉑金愛悅,西屯區市政北一路,興富發建設股份有限公司,271,第六種新市政中心專用區,集合住宅、店鋪、辦公室,鋼骨鋼筋混凝土造,1101105,無,"1110721~1160430,1110721至使照取得",惠民段115地號,1060410,106中都建字第00756號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
裕翔織光,西屯區寧夏東三街,裕翔建設股份有限公司,43,第二種住宅區,住商用,鋼筋混凝土造,1130521,1130630~1140630,1130630~1140630,中仁段370地號,1130111,113中都建字第00090,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
坤聯發中科匯,西屯區安和路、永康街,坤聯發建設股份有限公司,53,第一種住宅區、第二種住宅區,集合住宅、辦公室,鋼筋混凝土造,1110510,無,1110601~1151231,信安段64地號,1040708,104中都建字第01608號,1140730,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
鈺陞馥花園,西屯區安和路27-2號旁,鈺陞建設開發有限公司,14,農業區建地目,住家用,鋼筋混凝土造,1111212,1120101~1121231,,協成段312-1地號,1111104,111中都建字第02247號,1150203,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
日興-中港御園Ⅱ,西屯區安和三街,日日興建設有限公司,35,第一之B種住宅區,住宅,鋼筋混凝土造,1130923,"1130920~1160920,至銷售完畢",,福和段76地號,1130902,113中都建字第01514號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
