AA11,addr,apply,applydate,b,chkdate,city,e,f,house,id,idlist,lat,ldate,license,lon,ma,mark,name,pimg,pu,s,sn,subid,town
第五種商業區,西屯區中平路及經貿五路口,雙橡園開發股份有限公司,1120907,"鑫港尾段326地號,鑫港尾段333地號,鑫港尾段340地號,鑫港尾段341地號",1121020,B,1120907~1171231,,378,G1B011209070002,"G1B011209070002,00,雙橡園開發股份有限公司,1120907",24.192027115477686,1060123,106中都建字第00187號,120.65937747135958,鋼骨鋼筋混凝土造·鋼骨造,雙橡園開發股份有限公司,雙橡園4117,build_case.png,住家用,,42,00,B06
第四之一種商業區,西屯區惠順段11號,齊裕營造股份有限公司,1120927,"惠順段11地號,惠順段11-1地號",1121020,B,無,,548,G1B011209270002,"G1B011209270002,00,齊裕營造股份有限公司,1120927",24.155765323056748,1110809,111中都建字第01678號,120.64345322016196,鋼筋混凝土造、鋼骨鋼筋混凝土造,齊裕營造股份有限公司,雲頂,build_case.png,店鋪、辦公室、集合住宅,1121001~1191231,43,00,B06
第二種住宅區,西屯區烈美街,逢鳴建設股份有限公司,1121102,"西屯段1274地號,西屯段1275地號,西屯段1276地號",1121117,B,1121101~1151231,,17,G2B011211020001,"G2B011211020001,00,逢鳴建設股份有限公司,1121102",24.180639791179622,1120202,(112)中都建字第00238號,120.6429609104543,鋼筋混凝土造,僑馥建築經理股份有限公司,逢鳴日向微風,build_case.png,住家用,,44,00,B06
第二種住宅區,西屯區漢翔路,坤聯發建設股份有限公司,1121205,"福星段562地號,福星段563地號",1121219,B,無,,65,G1B011212050007,"G1B011212050007,00,坤聯發建設股份有限公司,1121205",24.185251057768713,1121025,112中都建字第01639號,120.63799713324391,鋼筋混凝土造,坤聯發建設股份有限公司,福星匯,build_case.png,集合住宅,1121201~1151130,45,00,B06
農業區 建地目,西屯區港尾路,東松建設有限公司,1121206,"廣昌段88地號,廣昌段88-7地號,廣昌段88-16地號,廣昌段88-17地號,廣昌段88-18地號,廣昌段88-19地號,廣昌段88-20地號,廣昌段88-21地號,廣昌段88-22地號,廣昌段88-23地號,廣昌段88-24地號,廣昌段88-25地號,廣昌段88-8地號,廣昌段88-26地號,廣昌段88-27地號,廣昌段88-28地號,廣昌段88-29地號,廣昌段88-30地號,廣昌段88-31地號,廣昌段88-32地號,廣昌段88-33地號,廣昌段88-34地號,廣昌段88-35地號,廣昌段88-9地號,廣昌段88-36地號,廣昌段88-37地號,廣昌段88-38地號,廣昌段88-39地號,廣昌段88-10地號,廣昌段88-11地號,廣昌段88-12地號,廣昌段88-13地號,廣昌段88-14地號,廣昌段88-15地號",1130119,B,無,,29,G1B011212060003,"G1B011212060003,00,東松建設有限公司,1121206",24.202787465128182,1121130,112中都建字第01838號,120.66231198647873,鋼筋混凝土造,東松建設有限公司,東松大鉅,build_case.png,集合住宅,1121207~1131206,46,00,B06
第三之第二種住宅區,西屯區惠中路與西屯路二段(原惠中路),維騰建設股份有限公司,1121226,惠來厝段130地號,1130117,B,1121201~1161201,,23,G1B011212260001,"G1B011212260001,00,維騰建設股份有限公司,1121226",24.168815494724658,1121113,112年中都建字第01744號,120.64858381568123,鋼筋混凝土造,維騰建設股份有限公司,時間回聲,build_case.png,集合住宅,,47,00,B06
第一之一種住宅區,西屯區經貿九路,華固建設股份有限公司,1130103,鑫港尾段95地號,1130411,B,無,,260,G1B011301030004,"G1B011301030004,01,華固建設股份有限公司,1130328",24.196911543483814,1120629,112中都建字第01013號,120.65519075130159,鋼筋混凝土造,華固建設股份有限公司,華固頂?,build_case.png,集合住宅,1130301~1141231,48,01,B06
第一之一種住宅區,西屯區經貿路二段、經貿六街,遠雄建設事業股份有限公司,1130111,鑫港尾段351地號,1130424,B,無,,168,G1B011301110005,"G1B011301110005,03,遠雄建設事業股份有限公司,1130418",24.191725932060827,1120929,112中都建字第01499號,120.65794114325178,鋼筋混凝土造,遠雄建設事業(股)公司,遠雄綠美,build_case.png,H2-集合住宅、G3-店舖,1121001~1160430,49,03,B06
第三種新市政中心專用區,西屯區文心路市政路口,興富發建設股份有限公司,1130115,惠國段61地號,1130131,B,無,,257,G1B011301150002,"G1B011301150002,00,興富發建設股份有限公司,1130115",24.156088283168387,1120728,112中都建字第01155號,120.64643402572663,鋼骨鋼筋混凝土造，鋼筋混凝土造,興富發建設股份有限公司,市政萬象廣場,build_case.png,店鋪、辦公室,1130101~1201231,50,00,B06
第三之二種住宅區,西屯區台中市西屯區河南路二段,鉅陞建設股份有限公司,1130118,上石碑段835地號,1141212,B,無,,84,G1B011301180001,"G1B011301180001,02,鉅陞建設股份有限公司,1141201",24.175841149584205,1121225,112中都建字第02021號,120.65291479832113,鋼筋混凝土造,鉅陞建設股份有限公司,囍御水湳,build_case.png,店舖與集合住宅,1121220~1140619,51,02,B06
第四種新市政中心專用區,西屯區台灣大道三段,允將建設股份有限公司,1130131,惠國段94地號,1130319,B,無,,139,G1B011301310003,"G1B011301310003,00,允將建設股份有限公司,1130131",24.16482315860542,1120502,112中都建字第00696號,120.64408744001395,鋼骨造、鋼筋混凝土造,允將建設股份有限公司,允將TST台灣之鑽,build_case.png,G3店鋪、G2辦公室、B2商場,1130201~1140731,52,00,B06
第二種住宅區,西屯區甘州五街,宜園建設股份有限公司,1130227,中義段111地號,1130321,B,無,,20,G1B011302270001,"G1B011302270001,00,宜園建設股份有限公司,1130227",24.163780298815475,1130202,113中都建字第00263號,120.65790736671136,鋼筋混凝土造,宜園建設股份有限公司,一青隱,build_case.png,H2集合住宅,1130301~1140131,53,00,B06
第一種新市政中心專用區,西屯區市政北二路與河南路口,寶急開發股份有限公司,1130317,惠民段102地號,1130923,B,1130401~售完為止,,138,G1B011303170002,"G1B011303170002,01,寶急開發股份有限公司,1130815",24.162560835981672,1101222,110中都建字第02565號,120.63812016615096,鋼筋混凝土造，鋼骨鋼筋混凝土造,寶急開發股份有限公司,寶輝101 Theater South,build_case.png,H2集合住宅,,54,01,B06
第二種文化商業專用區,西屯區經貿路二段與經貿三路交叉口,潤隆建設股份有限公司,1130415,"文商段39地號,文商段40地號",1130509,B,無,,320,G1B011304150001,"G1B011304150001,00,潤隆建設股份有限公司,1130415",24.189115010904214,1100603,110中都建字第01152號,120.65728861583064,鋼骨鋼筋混凝土造,潤隆建設股份有限公司,當代首馥,build_case.png,集合住宅、店舖、辦公室,1130401~1171231,55,00,B06
第三種住宅區,西屯區福安十五街,璞仁建設股份有限公司,1130502,福安段764-2地號,1141023,B,1130701~1160131,,43,G1B011305020004,"G1B011305020004,03,璞仁建設股份有限公司,1141001",24.1741953397692,1120412,112中都建字第00528,120.61429932005922,鋼筋混凝土造,璞仁建設股份有限公司,市政澄真,build_case.png,H2集合住宅,,56,03,B06
第三種商業區,西屯區青海路一段,親家地產股份有限公司,1130503,"中正段195地號,中正段210地號,中正段211地號,中正段212地號",1130619,B,無,,234,G1B011305030001,"G1B011305030001,00,親家地產股份有限公司,1130503",24.165203522488063,1101229,110中都建字第02617號,120.65241212655056,鋼筋混凝土造,親家地產股份有限公司,親家青海道,build_case.png,H2集合住宅,1130601~1140731,57,00,B06
